filepath,xmin,xmax,ymin,ymax
/home/mothikaa/ANPR/images/N192.xml,543,769,390,461
/home/mothikaa/ANPR/images/N149.xml,186,324,116,148
/home/mothikaa/ANPR/images/N100.xml,134,301,312,350
/home/mothikaa/ANPR/images/N116.xml,157,316,226,278
/home/mothikaa/ANPR/images/N57.xml,211,406,161,202
/home/mothikaa/ANPR/images/N206.xml,121,215,120,147
/home/mothikaa/ANPR/images/N199.xml,45,112,206,255
/home/mothikaa/ANPR/images/N123.xml,11,246,78,165
/home/mothikaa/ANPR/images/N78.xml,146,302,160,196
/home/mothikaa/ANPR/images/N66.xml,163,320,247,280
/home/mothikaa/ANPR/images/N90.xml,53,185,206,232
/home/mothikaa/ANPR/images/N148.xml,244,369,240,293
/home/mothikaa/ANPR/images/N150.xml,172,372,97,143
/home/mothikaa/ANPR/images/N126.xml,149,399,269,327
/home/mothikaa/ANPR/images/N173.xml,80,335,150,243
/home/mothikaa/ANPR/images/N9.xml,142,441,55,167
/home/mothikaa/ANPR/images/N5.xml,938,1173,709,762
/home/mothikaa/ANPR/images/N68.xml,319,479,262,295
/home/mothikaa/ANPR/images/N4.xml,1326,1830,1464,1607
/home/mothikaa/ANPR/images/N225.xml,775,1142,965,1101
/home/mothikaa/ANPR/images/N140.xml,346,423,197,221
/home/mothikaa/ANPR/images/N122.xml,342,494,243,288
/home/mothikaa/ANPR/images/N132.xml,111,320,133,286
/home/mothikaa/ANPR/images/N232.xml,286,451,216,258
/home/mothikaa/ANPR/images/N187.xml,572,839,461,535
/home/mothikaa/ANPR/images/N74.xml,161,366,210,250
/home/mothikaa/ANPR/images/N144.xml,39,177,201,275
/home/mothikaa/ANPR/images/N108.xml,184,342,220,257
/home/mothikaa/ANPR/images/N179.xml,203,297,217,240
/home/mothikaa/ANPR/images/N95.xml,23,408,173,391
/home/mothikaa/ANPR/images/N28.xml,738,1009,654,722
/home/mothikaa/ANPR/images/N145.xml,233,432,88,151
/home/mothikaa/ANPR/images/N107.xml,207,356,174,287
/home/mothikaa/ANPR/images/N154.xml,106,245,157,196
/home/mothikaa/ANPR/images/N130.xml,419,513,173,213
/home/mothikaa/ANPR/images/N240.xml,164,285,99,137
/home/mothikaa/ANPR/images/N30.xml,928,1219,543,606
/home/mothikaa/ANPR/images/N133.xml,795,1095,751,840
/home/mothikaa/ANPR/images/N138.xml,36,465,64,168
/home/mothikaa/ANPR/images/N193.xml,274,502,2,59
/home/mothikaa/ANPR/images/N92.xml,113,420,209,260
/home/mothikaa/ANPR/images/N8.xml,788,1525,1675,1851
/home/mothikaa/ANPR/images/N49.xml,196,352,135,173
/home/mothikaa/ANPR/images/N63.xml,297,422,174,218
/home/mothikaa/ANPR/images/N18.xml,373,528,366,408
/home/mothikaa/ANPR/images/N113.xml,39,108,129,157
/home/mothikaa/ANPR/images/N162.xml,147,336,169,209
/home/mothikaa/ANPR/images/N152.xml,265,725,247,347
/home/mothikaa/ANPR/images/N170.xml,299,442,337,386
/home/mothikaa/ANPR/images/N82.xml,456,651,722,778
